C:\Users\NCEPU\Documents\Visual Studio 2015\Projects\ImportData\ImportData\¹øÂ¯Ğ§ÂÊ01.csv
file	line	process	state
1/1	463	1%	faild
1/1	464	1%	faild
1/1	465	1%	faild
1/1	466	1%	faild
1/1	467	1%	faild
1/1	468	1%	faild
1/1	469	1%	faild
1/1	470	1%	faild
1/1	471	1.1%	faild
1/1	472	1.1%	faild
1/1	473	1.1%	faild
1/1	474	1.1%	faild
1/1	475	1.1%	faild
1/1	476	1.1%	faild
1/1	477	1.1%	faild
1/1	478	1.1%	faild
1/1	479	1.1%	faild
1/1	480	1.1%	faild
1/1	481	1.1%	faild
1/1	482	1.1%	faild
1/1	483	1.1%	faild
1/1	484	1.1%	faild
1/1	485	1.1%	faild
1/1	486	1.1%	faild
1/1	487	1.1%	faild
1/1	488	1.1%	faild
1/1	489	1.1%	faild
1/1	490	1.1%	faild
1/1	491	1.1%	faild
1/1	492	1.1%	faild
1/1	493	1.1%	faild
1/1	494	1.1%	faild
1/1	495	1.1%	faild
1/1	496	1.1%	faild
1/1	497	1.1%	faild
1/1	498	1.1%	faild
1/1	499	1.1%	faild
1/1	500	1.1%	faild
1/1	501	1.1%	faild
1/1	502	1.1%	faild
1/1	503	1.1%	faild
1/1	504	1.1%	faild
1/1	505	1.1%	faild
1/1	506	1.1%	faild
1/1	507	1.1%	faild
1/1	508	1.1%	faild
1/1	509	1.1%	faild
1/1	510	1.1%	faild
1/1	511	1.1%	faild
1/1	512	1.1%	faild
1/1	513	1.1%	faild
1/1	514	1.1%	faild
1/1	515	1.1%	faild
1/1	516	1.2%	faild
1/1	517	1.2%	faild
1/1	518	1.2%	faild
1/1	519	1.2%	faild
1/1	520	1.2%	faild
1/1	521	1.2%	faild
1/1	522	1.2%	faild
1/1	523	1.2%	faild
1/1	524	1.2%	faild
1/1	525	1.2%	faild
1/1	526	1.2%	faild
1/1	527	1.2%	faild
1/1	528	1.2%	faild
1/1	529	1.2%	faild
1/1	530	1.2%	faild
1/1	531	1.2%	faild
1/1	532	1.2%	faild
1/1	533	1.2%	faild
1/1	534	1.2%	faild
1/1	535	1.2%	faild
1/1	536	1.2%	faild
1/1	537	1.2%	faild
1/1	538	1.2%	faild
1/1	539	1.2%	faild
1/1	540	1.2%	faild
1/1	541	1.2%	faild
1/1	542	1.2%	faild
1/1	543	1.2%	faild
1/1	544	1.2%	faild
1/1	545	1.2%	faild
1/1	546	1.2%	faild
1/1	547	1.2%	faild
1/1	548	1.2%	faild
1/1	549	1.2%	faild
1/1	550	1.2%	faild
1/1	551	1.2%	faild
1/1	552	1.2%	faild
1/1	553	1.2%	faild
1/1	554	1.2%	faild
1/1	555	1.2%	faild
1/1	556	1.2%	faild
1/1	557	1.2%	faild
1/1	558	1.2%	faild
1/1	559	1.2%	faild
1/1	560	1.2%	faild
1/1	561	1.3%	faild
1/1	562	1.3%	faild
1/1	563	1.3%	faild
1/1	564	1.3%	faild
1/1	565	1.3%	faild
1/1	566	1.3%	faild
1/1	567	1.3%	faild
1/1	568	1.3%	faild
1/1	569	1.3%	faild
1/1	570	1.3%	faild
1/1	571	1.3%	faild
1/1	572	1.3%	faild
1/1	573	1.3%	faild
1/1	574	1.3%	faild
1/1	575	1.3%	faild
1/1	576	1.3%	faild
1/1	577	1.3%	faild
1/1	578	1.3%	faild
1/1	579	1.3%	faild
1/1	580	1.3%	faild
1/1	581	1.3%	faild
1/1	582	1.3%	faild
1/1	583	1.3%	faild
1/1	584	1.3%	faild
1/1	585	1.3%	faild
1/1	586	1.3%	faild
1/1	587	1.3%	faild
1/1	588	1.3%	faild
1/1	589	1.3%	faild
1/1	590	1.3%	faild
1/1	591	1.3%	faild
1/1	592	1.3%	faild
1/1	593	1.3%	faild
1/1	594	1.3%	faild
1/1	595	1.3%	faild
1/1	596	1.3%	faild
1/1	597	1.3%	faild
1/1	598	1.3%	faild
1/1	599	1.3%	faild
1/1	600	1.3%	faild
1/1	601	1.3%	faild
1/1	602	1.3%	faild
1/1	603	1.3%	faild
1/1	604	1.3%	faild
1/1	605	1.4%	faild
1/1	606	1.4%	faild
1/1	607	1.4%	faild
1/1	608	1.4%	faild
1/1	609	1.4%	faild
1/1	610	1.4%	faild
1/1	611	1.4%	faild
1/1	612	1.4%	faild
1/1	613	1.4%	faild
1/1	614	1.4%	faild
1/1	615	1.4%	faild
1/1	616	1.4%	faild
1/1	617	1.4%	faild
1/1	618	1.4%	faild
1/1	619	1.4%	faild
1/1	620	1.4%	faild
1/1	621	1.4%	faild
1/1	622	1.4%	faild
1/1	623	1.4%	faild
1/1	624	1.4%	faild
1/1	625	1.4%	faild
